Text,Summary,Score
"Just like others have said, the description states quantity of 48, but you will only receive 24.  This is a big rip off.  I will not order k-cups from Amazon anymore.  Buyer beware!",Rip off,1
"there are no details about the weight of the toblerone products offered on line........24 count means nothing what is the net weight per bar. it is suggested that both the single bar weight and total weight per box of 24 should be specified to make clear what one is buying also for the 60 count mini toblerone, it does not show the total weight of the 60 count mini toblerone box.  please clarify & display these details on your web site to facilitate a buying decision.<br />thanks",Toblerone weight details,1
Vast product,Worst experience ever!,1
I request everyone not to buy this cargo trouserI'm using Flipkart from several years and I didn't received any bad quality productBut this time they made me very upset this Cargo Pant's quality was extremely ridiculous I request Flipkart to check their products before delivery,Nan,1
"I ordered two bags of Yummy Chummies and they arrived promptly.  However they should have been shipped with a hammer enclosed to break them.  We have purchased these before from Costco and they were moist, the ones we purchased online were hard as rocks.  I believe they may have been a very old product and I was very unsatisfied with them even though the dogs ate them.  I have no idea how you can verify a fresh product when ordered online.",Disappointed in this order,1
"Sad to say this tuna is no longer from Italy (as advertised) but from Thailand. I won't be ordering any more.<br /><br />09-03-2010 Taste tested it...no comparison to the moist, flavorful Italian tuna, this Thailand tuna is dry and bland in comparison.","No longer Italian, but from Thailand",1
"I love these.  I mean, I really love them.  And I was about to order them, but out of curiosity glanced down at the reviews.<br /><br />Mrs. May, I hope you read these reviews!  I will be one of your faithful customers forever if you start making these in the US.<br /><br />I choose not to buy any products (especially food) made in China, because of 2 concerns: 1.  Human rights issues and the use of prisoners as unpaid laborers (this is why the price is cheap on Chinese-made goods) and 2.  Concerns for quality control.","I love these, but please make them in the US!",1
It's detected or not connected by my laptop,Useless product,1
"Print out from this cartridge is 20 to 30 less than what is printed on it and refilling it with ink is waste of time and money, it will not work at all.",Not recommended at all,1
"Not working properly for two weeks,worst quality don't purchase. 1 rating also waste",Not recommended at all,1
"I rarely type reviews but simply have to after trying this product. I picked it up at Whole Foods and yes, the color is kinda strange, but I can get past that. And I realized it wouldn't taste truly like ice cream. But it has such a sickeningly sweet flavor that is nothing like cookies and cream. It reminded me of cheap ice milk with a bunch of Equal packets mixed in. And I did assume there would be 'cookies'. I know that there are whey crisps out on the market and assumed that something similar would be used.<br /><br />Overall, I really hated this product and after trying to doctor it up, I just threw it away. It's not a remotely good ice cream substitute. If you're looking for a natural, low sugar option, try So Delicious No-Sugar Added Coconut Milk Ice Cream. I've tried the Mint Chip and Chocolate and both are pretty delicious.",Tastes nothing like you would hope or expect.,1
"My dog loves salmon. As soon as I opened the box, I could smell the treats without opening its package. My dog loved them, but they smelled so fishy, I could hardly tolerate giving them to my beloved fur baby. I put them in a freezer baggie and kept them in the freezer to tolerate. I wondered if they were healthy since good fresh fish does not stink like these treats do. Would not re-order these smelly treats.",smelly treats,1
"When Harry Potter first made its debut we had bought a bag of the Harry Potter Bertie Botts Every Flavour Jelly Beans for our children. Yes, they were perfectly disgusting... as they should be... and the kids loved trying to get people to eat vomit and rotten egg flavored jelly beans. Now we are at the end of the Harry Potter era and we purchased these for Christmas stockings. Still just as disgusting but who knew how SMALL each box was. 1.2 oz per box seemed acceptable but for $9 plus shipping????? At most they should have cost .50 to $1 per box. We won't be making that mistake again!",A little disgusting... a lot overpriced,1
"The product description on line that I read, doesn't mention that this is for relaxed and natural hair.  when I got the product, the container says it's for Relaxed and natural hair..  Relaxed to me means curly hair that has been chemically relaxed.  I wouldn't have got this product, had I known that.  Typically, the type of hair that gets straightened is very thick and dry, so this product could be for them.  I would still question even that though, knowing how difficult this stuff is to wash out.<br /><br /> With no instructions with it there's no telling how exactly to use this.  As a former hairstylist, I've seen similar looking products used on straightened hair to help smooth it down with a flat iron, but  It's not advertised to use that way.<br />It's thick and by the other reviewers seems to be very difficult them to wash out too.  Maybe similar to putting vaseline on you hair.  It says for the scalp and hair, but to even get on my scalp, it would get on my hair, so not a product for me.",not sure who could use this product.,1
Not good. Pack damaged,Not recommended at all,1
Very bad,Nan,1
Worst product i have ever received from online,Worthless,1
Got a Defective Fan,Useless product,1
"After reading the ingredients (and being familiar with Paul Newman's great-tasting salad dressings), I was excited about feeding this dog food to my older rescue doberman.<br /><br />I was surprised when I opened the first can because it truly looked like it had been eaten and passed through another dog's intestines.  Sorry to be so graphic but that's the truth.  It's hard to give my dog food that I dont even want to touch.  She loved the taste, though, and that was the important thing.<br /><br />That night, however, my poor dog was in agony and had black, watery diarrhea all over the house.  Twenty-four hours later she still wasnt feeling well.  I gave her Imodium and considered taking her to the vet.<br /><br />I'm happy for those dogs that like this food and dont suffer any side-effects.  I wish my dog were one of them.",Gives my dog terrible diarrhea,1
"Bought this because I have chronic acid reflux, but I love and need coffee. This coffee never smells good no matter if it's still in bean form, being ground, being brewed, being drank, whatever. Very poor taste. I've always been a Dunkin Donuts, Starbucks, or Papa Nicholas drinker and this brand doesn't come close as far as flavor. It is light on the damaged stomach/esophagus though. That and the fact that the money was already spent on this is the only reason I'm still drinking. It's never taken me this long to get through 2.5 lbs of coffee beans.","Easy on the stomach, rough on the taste buds.",1
"We've had several nylabones for our dogs.  They loved chewing on them and the bones seemed to hold up very well--until a piece broke off and lodged in the small intestine of my dachsund.  Since it's plastic, it doesn't show up in x-rays and the blockage wasn't identified until it was too late.  Always supervise your pet when they are chewing anything that can be chewed up!",BEWARE,1
"Nasty. Too sweet and the cherry totally overpowers the lime. I am working in afghanistan and we look forward to flavoring our bottled water and normally Propel flys off our desk, but not this stuff. I am not lying when I say I cannot even give it away.<br /><br />Trust me and stick with the other flavors.","Gatorade Propel Zero Powder Sticks Cherry Lime, 10-Count (Pack of 6)",1
I tried these because they were recommended to me by a friend.  She forgot to tell me how much they would irritate my stomach.  The only way I can use them is to add them to a full glass of water and then slowly sip it.  That keeps me going but I would rather drink Sugar-free Red Bull.  It's going to take some time to consume all the bottles I purchased since I will probably only use them when I need to carry something small with me.,Upset my stomach,1
"Don't buy, personal experience, go for others,",Utterly Disappointed,1
"These are really poor, skinny bully sticks.  I wrote a different review but it is not appearing.  I was able to cut these w/ household scissors and the dog finished it in 5 min.  I was very happy w/ previous orders of 6"" sticks and opted for these as they were 12"".",Not worth it,1
"I have received multiple shipments of this item from Amazon (a subscribe and save item delivered every month), and they have all been great. The real deal, same as the bottles you get in Japan. Until my most recent shipment - sent out Oct 19, 2011. When I opened the package, the bottles looked different and it said Made in Thailand. Why has the product changed when the price I'm paying is the same? Bring the original Made in Japan bottles back before I order this item from Amazon again.",Don't buy this! Made in Thailand!,1
"I ordered this for my mom, who has Celiac disease. She could not tolerate it, it gave her bad diarrhea, as if it had gluten in it.",May not be totally gluten free,1
Very bad like very useless,Moderate,1
Not niceð,Unsatisfactory,1
"Kettle Branch Potato Chips New York Cheddar:  These are good if you like kettle fried potato chips that are waaaay salty, on the burnt side, and taste rancid, either because the cheese flavoring or the oil it was fried in was already old.  I want to like this brand of chips and try their new and other flavors every now and then.  But, after having tried all sorts of other brands of kettle cooked chips, these just don't hit the spot for me.",Kettle Brand Potato Chips - New York Cheddar,1
"Salt and paprika are the main ingredients plus unnamed ""spices,"" garlic, and onion. Not remarkable, and way too expensive for a simple seasoned salt. Not recommended.",Salt  - Is just a seasoned salt and very expensive salt!,1
While i liked the coffee immensely i will not be ordering this again because the can was half empty or half full whichever way you look at it. I was shocked to see it at first and thought it was defective packaging but have read another review by someone who had a similar experience. Shame on them.,Not 250 grams!,1
I echo the other 1 star review. This stuff is terrible and he is right-on in each of his observations. I can only add that the stuff should not be allowed to be sold.,I wish I could get my money back,1
"This is not kalamata olive oil.<br />1.  Tin has picture of normal olives not kalamata<br />2.  No where on the tin does it say ""kalamata""<br />3.  Tasted it and it does not taste anything like kalamata Ive had before.<br />4.  The description on site says 100% kalamata.<br />Sending it back.....<br />UPDATE<br />The same day I wrote this review I was contacted by Mr. Alexander Mallas, with SuperOlive.com, the seller. 650-591-1010 .<br />He explained that the product description was written by the Martinis Company,the manufacturer.<br />The Kalamata is the region in Greece where the olives are grown, not necessarily kalamata olives.<br />I never knew there was such a place.  The seller plans on clarifing this in their description.<br />Mr. Mallas did say he attended an olive oil convention in Greece and found that the locals make their own kalamata olive oil for themselves and it is not readily available to the public.  The quest will continue....<br />It was a pleasure discussing the many different grades and types of olive oil. I plan on reading the book,<br />Extra Virginity: The Sublime and Scandale, by Tom Mueller, which he recommended.  I heard the program on NPR, with this review.<br />The Martinis oil I have he said I can keep, with an acidy level of .8 ( whatever that means ) I would only use it to fry fish, or other foods.<br />I am satisfied with the response, in fact Mr. Mallas is a colorfull man, and would look forward to another discussion after completing my<br />education.  Olive ON....",Bait and switch,1
I was shocked that this was such a dry and tastless product.  After a coupld samples I had to through the rest away as I was afraid to eat it.,Jujube Red Dates,1
The item I was sent is not what is pictured here. Even the nutritional facts are completely different. Beware...if you are looking for Walnut Acres Tuscan White Bean -- this is not what it promises to be!!!,Wrong item -- this isn't what you will get in the mail!,1
