Text,Summary,Score
Very worst...,Nan,1
The product is good but Flipkart delivery is very poor for such products.,Hated it!,1
I ordered tulips for my wife because they are her favorite flower.<br /><br />Instead of the 30 Multicolored tulips I ordered she receives a dozen roses. REALLY dont you think if I wanted to order a dozen roses I would have done that.<br /><br />Whats next AMAZON and Pro Flowers?!?!? Maybe you will substitute a flaming bag of dog excrement for my next order.<br /><br />So far today 2 of my three orders from you have been nothing like what I ordered. If I wanted a surprise package or a mystery gift I would have ordered that.<br /><br />I am disgusted with this shopping experience.<br /><br />EPIC FAIL!!!,YET ANOTHER EPIC FAIL,1
Nt working 90% of yeast is dead,Waste of money!,1
Size fit but quality is not good as expected,Nan,1
One of the rubber of the leg peices of missing. It caused the table to shake considerably even with minor touch,Utterly Disappointed,1
"Kettle Branch Potato Chips New York Cheddar:  These are good if you like kettle fried potato chips that are waaaay salty, on the burnt side, and taste rancid, either because the cheese flavoring or the oil it was fried in was already old.  I want to like this brand of chips and try their new and other flavors every now and then.  But, after having tried all sorts of other brands of kettle cooked chips, these just don't hit the spot for me.",Kettle Brand Potato Chips - New York Cheddar,1
"I'd heard about this on triple D and a few other places, and thought, ""Well, if they're ranting THIS MUCH, it must be GREAT."" Nah.<br /><br />Used it on chicken TWICE (the reviews I'd read slobbered all over how good it was supposed to be with chicken), and it SUCKED. Not that it was nauseating, it just had no flavor at all. We have a pretty broad palate--like all kinds of foods--but this had  no real flavor profile at all. I've read it described as 'lemony', etc.: don't you believe it. I loaded the food up with lemon and this stuff, and it pretty much...just lay there.<br /><br />Frankly: we grew up poor and couldn't afford too many spices or extras, and my mom's roast chicken with JUST salt, pepper and butter rocked WAAAAAAAAY more than this. Save your money is my instinct. I still plan to try it mixed with some other herbs, so I'll update, and hopefully find a recipe or two that is worth the investment.<br /><br />The company DOES give you a LOT for your money, in the way of sheer amount of the spice that they send you. I'd be very open to anyone here who wanted to send me recipes or ways to use it that might change my initial impression. So look out for future updates.","Um, no.",1
Not Working,Unsatisfactory,1
Bad service Within 2 Months Don't Buy This Product ð¡ Bad Connectivity.,Did not meet expectations,1
Not connected to tubicast app,Utterly Disappointed,1
"I am not going to get into the nutritional side of this product because Brenda has done an outstanding job of covering that. The woman knows her dog food! I am simply going to tell you our dogs opinion of the taste quality:<br /><br />Beckham is a two year old whippet who is more pup than dog. He typically eats Purina One for meals, meaty bones and pigs ears for snacks and a denta-bites for his teeth. His breeder (who I am sure was glad to see the backside of Beckham) recommended the above, well, okay not the pigs ears but that is just so deliciously disgusting to impose on the kids. Beckham has also been known to eat grass, slugs, deer poo and other revolting items. What Beckham will not eat is Chef Michael's Grilled Sirloin. Said Sirloin has been hand fed to Beckham, hidden in with his standard kibble and offered as a treat for not pulling on walks. Nope, nope, nope, Beckham is not having it. Chef Michael please report back  to the kitchen.<br /><br />Not recommended by Beckham. (Or Brenda)","The Whippet says ""Pass""",1
Size is very small. Suitable for small kids,Very poor,1
Poor  Quality,Terrible product,1
"We followed all the instructions and did not freeze the bread.  Once we opend a loaf we refrigerated it.  A day or two after opening a loaf the bread went moldy. This happened to two loaves.  Because of this I would not buy it again.  <a href=""http://www.amazon.com/gp/product/B000VK9XQ6"">Ener-G Brown Rice Loaf Gluten and Wheat Free -- 16 oz</a>",Dissatisfied customer,1
"nor is this item healthy. first, the 'chocolate' bits here do NOT taste all that good. in fact, they taste like the cheapest chocolate you've ever bought on a whim to satisfy a craving (or worse). second the chocolate bits are heavy and sink to the bottom of the bowl. you won't actually get much of the chocolate in the same spoonful as the flakes. finally, the chocolate is waxy, it doesn't melt in your mouth and it's made with a trans-fat.<br />personally... I'd rather buy, chop &/or and shave a REAL 70% or higher chocolate bar & sprinkle that on plain special k.<br />I guarentee it would be a hell of a lot better & healther then this junk.",no it's not worth it,1
Remote is not working.,Worst experience ever!,1
Are you ready to maintain this then buy... It will not maintain your needs.. our needs..,Did not meet expectations,1
"After waiting a ridiculous amount of time for my case of 15 5oz bags to arrive, upon opening the box noticed that every bag had been chewed open by a mouse.  Don't know if it is still in the box, but it is outside on the porch.  When my son gets home, I'm going to have pictures taken and email to Amazon.  The outside Amazon box was intact, so it had to be either from the Kettle Chips people or the Amazon warehouse, don't know which.  I will never buy these again from Amazon.  I cannot tell you how disgusted I am with this purchase.  It makes me sick to think about it!<br /><br />I included pictures at the top of the page.  Poor little mousie must have high cholesterol now.<br /><br />Update:  I forgot to mention that I offered to email the above pictures of the mouse damage to Amazon but was told they didn't want them.",Kettle Chips Make Great Mouse Food,1
"I would not take the risk to eat this fish as it is from China.  Wish it was said in the description because here I lost 15.69 for one pound of wet fish (thought it was dried but it came with lot of water as the weather is hot I am also afraid it might have gone bad with such hot weather.<br /><br />Again, I will not eat it.",This is from China,1
Very niceð??,Worst experience ever!,1
"We bought a carton of Paul Newman's brand because of the raves your on your website. Louie, who will eat almost anything, turned away from this meal in disgust. We gave away the rest of the cans.","""Don't give me that again"" Louie  the Boston Terrier",1
Low quality,Hated it!,1
